,binomial,common_name
3019,Pipistrellus maderensis,Madeira Pipistrelle
3020,Peromyscus madrensis,"Tres Marias Deer Mouse, Tres Marias Island Mouse"
3021,Callospermophilus madrensis,Sierra Madre Ground Squirrel
3022,Hipposideros madurae,Maduran Leaf-nosed Bat
3023,Rhinolophus madurensis,Madura Horseshoe Bat
3024,Rhinolophus maendeleo,Maendeleo Horseshoe Bat
3025,Ctenomys magellanicus,Magellanic Tuco-tuco
3026,Histiotus magellanicus,Southern Big-eared Brown Bat
3027,Oligoryzomys magellanicus,Magellanic Pygmy Rice Rat
3028,Hipposideros maggietaylorae,"Maggie Taylor's Leaf-nosed Bat, Maggie Taylor's Roundleaf Bat"
3029,Miniopterus maghrebensis,Maghrebian Bent-wing Bat
3030,Gerbillus maghrebi,Greater Short-tailed Gerbil
3031,Neotoma magister,"Allegheny Woodrat, Appalacian Woodrat"
3032,Phyllotis magister,Master Leaf-eared Mouse
3033,Cryptotis magna,"Big Mexican Small-eared Shrew, Big Small-eared Shrew"
3034,Cavia magna,Greater Guinea Pig
3035,Sturnira magna,Greater Yellow-shouldered Bat
3036,Miniopterus magnater,"Large Bent-winged Bat, Western Bent-winged Bat"
3037,Petaurista magnificus,Hodgson's Giant Flying Squirrel
3038,Uroderma magnirostrum,Brown Tent-making Bat
3039,Apomys magnus,"Lowland Banahaw Forest Mouse, Lowland Banahaw Apomys"
3040,Miniopterus mahafaliensis,Mahafaly Long-fingered Bat
3041,Pteropus mahaganus,"Sanborn's Flying Fox, Lesser Flying-fox, Lesser Flying Fox"
3042,Mus mahomet,Mahomet Mouse
3043,Zyzomys maini,"Arnhem Rock-rat, Arnhem Land Rock Rat"
3044,Spermophilus major,Russet Ground Squirrel
3045,Natalus major,Hispaniolan Greater Funnel-eared Bat
3046,Eupleres major,Western Falanouc
3047,Macruromys major,"Greater Small-toothed Rat, Eastern Small-toothed Rat"
3048,Vampyrodes major,NA
3049,Allactaga major,Great Jerboa
3050,Cheirogaleus major,"Geoffroy's Dwarf Lemur, Greater Dwarf Lemur"
3051,Chiropodomys major,"Greater Pencil-tailed Tree Mouse, Large Pencil-tailed Tree Mouse, Large Sunda Tree Mouse"
3052,Nycteris major,"Dja Slit-faced Bat, Ja Slit-faced Bat"
3053,Nesophontes major,NA
3054,Eonycteris major,Greater Dawn Bat
3055,Nyctimene major,"Island Tube-nosed Bat, Dobson's Tube-nosed Bat, Island Tube-nosed Fruit Bat"
3056,Chaerephon major,"Large Wrinkle-lipped Bat, Giant Gland-tailed Bat, Lappet-eared Free-tailed Bat, Lappet-eared Wrinkle-lipped Bat"
3057,Eliurus majori,Major's Tufted-tailed Rat
3058,Miniopterus majori,Major's Long-fingered Bat
3059,Microtus majori,Major's Pine Vole
3060,Microgale majori,Major's Long-tailed Tenrec
3061,Neoromicia malagasyensis,Isalo Serotine
3062,Nyctimene malaitensis,"Malaita Tube-nosed Bat, Malaita Tube-nosed Fruit Bat"
3063,Crocidura malayana,Malayan Shrew
3064,Helarctos malayanus,"Sun Bear, Malayan Sun Bear"
3065,Rhinolophus malayanus,Malayan Horseshoe Bat
3066,Suncus malayanus,Malayan Pygmy Shrew
3067,Cebus malitiosus,Santa Marta White-fronted Capuchin
3068,Cryptotis mam,NA
3069,Microcebus mamiratra,Claire's Mouse Lemur
3070,Oecomys mamorae,Mamore Arboreal Rice Rat
3071,Trichechus manatus,"American Manatee, West Indian Manatee"
3072,Miniopterus manavi,"Manavil Long-fingered Bat, Manavi Long-fingered Bat"
3073,Lasiopodomys mandarinus,Mandarin Vole
3074,Lepus mandshuricus,Manchurian Hare
3075,Crocidura manengubae,Manenguba Shrew
3076,Peromyscus maniculatus,"North American Deermouse, Deer Mouse"
3077,Berylmys manipulus,"Manipur White-toothed Rat, Manipur Berylmys"
3078,Sylvilagus mansuetus,San Jose Brush Rabbit
3079,Ochotona mantchurica,Manchurian Pika
3080,Phyllomys mantiqueirensis,Mantiqueira Atlantic Tree Rat
3081,Carollia manu,Manu Short-tailed Bat
3082,Otocolobus manul,"Pallas's Cat, Manul"
3083,Crocidura maquassiensis,"Makwassie Musk Shrew, Maquassie Musk Shrew"
3084,Cerradomys maracajuensis,"Maracaju Rice Rat, Maracaju Oryzomys"
3085,Mico marcai,"Marca's Marmoset, Marca's Marmoset"
3086,Solenodon marcanoi,Marcano's Solenodon
3087,Mydaus marchei,"Palawan Stink-badger, Palawan Stink Badger"
3088,Petrogale mareeba,Mareeba Rock Wallaby
3089,Haeromys margarettae,"Margaret's Haeromys, Ranee Mouse"
3090,Felis margarita,"Sand Cat, Sand Dune Cat"
3091,Caperea marginata,Pygmy Right Whale
3092,Ateles marginatus,"White-cheeked Spider Monkey, White-whiskered Spider Monkey"
3093,Microcebus margotmarshae,"Margot Marsh's Mouse Lemur, Antafondro Mouse Lemur"
3094,Rusa marianna,"Philippine Deer, Philippine Brown Deer"
3095,Pteropus mariannus,"Marianas Flying Fox, Marianas Fruit Bat, Marianna Flying Fox, Micronesian Flying-fox, Micronesian Flying Fox, Pagan Island Fruit Bat, Ulithi Fruit Bat"
3096,Gazella marica,Arabian Sand Gazelle
3097,Gracilinanus marica,Northern Gracile Mouse Opossum
3098,Cerradomys marinhus,"Marinho's Rice Rat, Marinho's Oryzomys"
3099,Lonchorhina marinkellei,Marinkelle's Sword-nosed Bat
3100,Crocidura mariquensis,Swamp Musk Shrew
3101,Hipposideros marisae,Aellen's Roundleaf Bat
3102,Sorex maritimensis,Maritime Shrew
3103,Ursus maritimus,Polar Bear
3104,Tamiops maritimus,Maritime Striped Squirrel
3105,Poelagus marjorita,Bunyoro Rabbit
3106,Amblysomus marleyi,Marley's Golden Mole
3107,Pardofelis marmorata,Marbled Cat
3108,Rattus marmosurus,"Marmoset Xanthurus Rat, Opossum Rat"
3109,Marmota marmota,Alpine Marmot
3110,Microcebus marohita,Marohita Mouse Lemur
3111,Scotophilus marovaza,Marovaza House Bat
3112,Rhinolophus marshalli,Marshall's Horseshoe Bat
3113,Antidorcas marsupialis,Springbok
3114,Didelphis marsupialis,"Common Opossum, Black-eared Opossum, Southern Opossum"
3115,Martes martes,"Pine Marten, European Pine Marten"
3116,Otomops martiensseni,"Large-eared Free-tailed Bat, Giant Mastiff Bat, Large-eared Giant Mastiff Bat, Martiensen's Free-tailed Bat, Martienssen Bat, Martienssen's Big-eared Bulldog Bat"
3117,Myotis martiniquensis,Schwartz's Myotis
3118,Saguinus martinsi,"Martin's Ochraceous Bare-face Tamarin, Martin's Bare-face Tamarin"
3119,Nyctimene masalai,"Demonic Tube-nosed Bat, Demonic Tube-nosed Fruit Bat"
3120,Sigmodon mascotensis,"Jaliscan Cotton Rat, West Mexican Cotton Rat"
3121,Lutreolina massoia,Massoia's lutrine opossum
3122,Rhipidomys mastacalis,Long-tailed Climbing Mouse
3123,Platyrrhinus masu,NA
3124,Phalanger matabiru,Blue-eyed Cuscus
3125,Tolypeutes matacus,Southern Three-banded Armadillo
3126,Melomys matambuai,Manus Melomys
3127,Phalanger matanim,Telefomin Cuscus
3128,Platyrrhinus matapalensis,NA
3129,Neoromicia matroka,"Malagasy Serotine, Malagasy Serotine, Matroka Bat"
3130,Dendrolagus matschiei,"Huon Tree Kangaroo, Matschie's Tree-kangaroo"
3131,Galago matschiei,"Spectacled Lesser Galago, Eastern Needle-clawed Bushbaby, Eastern Needle-clawed Galago, Lesser Needle-clawed Galago, Matschie's Galago, Spectacled Galago"
3132,Micronycteris matses,NA
3133,Mus mattheyi,Matthey's Mouse
3134,Molossops mattogrossensis,Mato Grosso Dog-faced Bat
3135,Mico mauesi,Maus Marmoset
3136,Ctenomys maulinus,Maule Tuco-tuco
3137,Macaca maura,"Moor Macaque, Celebes Macaque"
3138,Crocidura maurisca,"Dark Shrew, Gracile Naked-tailed Shrew"
3139,Taphozous mauritianus,"Mauritian Tomb Bat, Taphozous bat of Mauritius, Tomb Bat"
3140,Eumops maurus,Guianan Bonneted Bat
3141,Sundamys maxi,"Javan Sundamys, Bartels's Rat"
3142,Crocidura maxi,"Javanese Shrew, Max's Shrew"
3143,Paracrocidura maxima,"Greater Large-headed Shrew, Greater Shrew"
3144,Centronycteris maximiliani,"Shaggy Bat, Common Shaggy Bat"
3145,Microtus maximowiczii,Maximowicz's Vole
3146,Elephas maximus,"Asian Elephant, Indian Elephant"
3147,Priodontes maximus,Giant Armadillo
3148,Lagostomus maximus,Plains Viscacha
3149,Archboldomys maximus,"Large Cordillera Shrew Mouse, Cordillera Archboldomys"
3150,Philantomba maxwellii,Maxwell's Duiker
3151,Peromyscus mayensis,"Maya Mouse, Mayan Deer Mouse"
3152,Cryptotis mayensis,Yucatan Small-eared Shrew
3153,Pogonomelomys mayeri,"Shaw Mayer's Pogonomelomys, Shaw Mayer's Brush Mouse"
3154,Pseudochirulus mayeri,Pygmy Ringtail
3155,Mus mayori,"Mayor's Mouse, Highland Rat, Mayor's Mouse"
3156,Dendrolagus mayri,Wondiwoi Tree-kangaroo
3157,Thomomys mazama,"Western Pocket Gopher, Mazama Pocket Gopher, Puget Sound Pocket Gopher"
3158,Dendrolagus mbaiso,Dingiso
3159,Xenothrix mcgregori,Jamaican Monkey
3160,Philander mcilhennyi,Mcilhenny's Four-eyed Opossum
3161,Rhinolophus mcintyrei,NA
3162,Crocidura mdumai,Mduma's Shrew
3163,Tamiasciurus mearnsi,Mearns's Squirrel
3164,Saccostomus mearnsi,"East African Pouched Mouse, Mearns's Pouched Mouse"
3165,Fukomys mechowi,Mechow's Mole Rat
3166,Petaurista mechukaensis,"Mechuka Giant Flying Squirrel, Mechuka Flying Squirrel"
3167,Cryptotis medellinia,Medelln Small-eared Shrew
3168,Callicebus medemi,"Colombian Black-handed Titi, Colombian Black-handed Titi Monkey, Medem's Collared Titi, Medem's Titi Monkey"
3169,Lophuromys medicaudatus,Medium-tailed Brush-furred Rat
3170,Sorex mediopua,Jalisco Shrew
3171,Cheirogaleus medius,"Western Fat-tailed Dwarf Lemur, Fat-tailed Dwarf Lemur , Lesser Dwarf Lemur"
3172,Miniopterus medius,"Medium Bent-winged Bat, Intermediate Long-fingered Bat"
3173,Bassaricyon medius,Western Lowland Olingo
3174,Phyllomys medius,NA
3175,Microdipodops megacephalus,"Dark Kangaroo Mouse, Owyhee River Kangaroo Mouse"
3176,Hylaeamys megacephalus,NA
3177,Kobus megaceros,Nile Lechwe
3178,Chelemys megalonyx,"Large Long-clawed Mouse, Large Long-clawed Akodont"
3179,Mormoops megalophylla,"Ghost-faced Bat, Peters's Ghost-faced Bat"
3180,Peromyscus megalops,"Broad-faced Deer Mouse, Brown Deer Mouse"
3181,Dorcatragus megalotis,"Beira, Beira Antelope"
3182,Otocyon megalotis,Bat-eared Fox
3183,Hylomys megalotis,Long-eared Gymnure
3184,Reithrodontomys megalotis,"Southern Marsh Harvest Mouse, Western Harvest Mouse"
3185,Hipposideros megalotis,Ethiopian Large-eared Roundleaf Bat
3186,Micronycteris megalotis,Little Big-eared Bat
3187,Dactylopsila megalura,Great-tailed Triok
3188,Suncus megalura,Climbing Shrew
3189,Rhinolophus megaphyllus,"Eastern Horseshoe Bat, Smaller Horseshoe Bat"
3190,Viverra megaspila,Large-spotted Civet
3191,Rhinolophus mehelyi,Mehely's Horseshoe Bat
3192,Hylochoerus meinertzhageni,"Forest Hog, Giant Forest Hog"
3193,Peromyscus mekisturus,Puebla Deer Mouse
3194,Presbytis melalophos,"Sumatran Surili, Mitred Leaf Monkey"
3195,Aepyceros melampus,"Impala, Black-faced Impala, Common Impala"
3196,Martes melampus,"Japanese Marten, Tsushima Island Marten"
3197,Crunomys melanius,"Mindanao Shrew Mouse, Mindanao Shrew Rat, Southern Philippine Shrew-mouse"
3198,Peromyscus melanocarpus,"Black-wristed Deer Mouse, Tempoaltepec, Zempoaltepec"
3199,Chironax melanocephalus,Black-capped Fruit Bat
3200,Callicebus melanochir,"Coastal Black-handed Titi, Southern Bahian Masked Titi"
3201,Callosciurus melanogaster,Mentawai Squirrel
3202,Eothenomys melanogaster,"Pre David's Vole, Pre David's Vole"
3203,Ailuropoda melanoleuca,Giant Panda
3204,Saguinus melanoleucus,White/crandall's Saddleback Tamarin
3205,Lophuromys melanonyx,Black-clawed Brush-furred Rat
3206,Peromyscus melanophrys,"Plateau Deer Mouse, Plateau Mouse"
3207,Pteropus melanopogon,Black-bearded Flying Fox
3208,Taphozous melanopogon,Black-bearded Tomb Bat
3209,Scolomys melanops,South American Spiny Mouse
3210,Melonycteris melanops,"Black-bellied Blossom Bat, Bismarck Blossom Bat, Black-bellied Fruit Bat"
3211,Aeretes melanopterus,"Northern Chinese Flying Squirrel, Groove-toothed Flying Squirrel, North Chinese Flying Squirrel"
3212,Myotis melanorhinus,Dark-nosed Small-footed Myotis
3213,Raphicerus melanotis,Cape Grysbok
3214,Ailurops melanotis,Talaud Bear Cuscus
3215,Nannosciurus melanotis,Black-eared Squirrel
3216,Dendromus melanotis,"Gray African Climbing Mouse, Gray Glimbing Mouse"
3217,Peromyscus melanotis,Black-eared Mouse
3218,Handleyomys melanotis,Black-eared Rice Rat
3219,Pteropus melanotus,"Blyth's Flying Fox, Black-eared Flying Fox, Christmas Island Flying Fox"
3220,Dendrogale melanura,"Bornean Smooth-tailed Treeshrew, Bornean Smooth-tailed Tree Shrew"
3221,Carpomys melanurus,"Large Luzon Carpomys, Short-footed Luzon Tree Rat"
3222,Mysateles melanurus,"Black-tailed Hutia, Bushy-tailed Hutia"
3223,Mico melanurus,Black-tailed Marmoset
3224,Pithecheir melanurus,"Javan Pithecheir, Red Tree Rat"
3225,Coendou melanurus,NA
3226,Eliomys melanurus,Asian Garden Dormouse
3227,Peromyscus melanurus,"Black-tailed Deer Mouse, Black-tailed Mouse"
3228,Murexia melanurus,"Black-tailed Dasyure, Black-tailed Antechinus"
3229,Globicephala melas,Long-finned Pilot Whale
3230,Myoictis melas,"Mller's Three-striped Dasyure, Three-striped Dasyure"
3231,Neoromicia melckorum,"Melck's Pipistrelle Bat, Melck's House Bat, Melck's Serotine Bat"
3232,Meles meles,"Eurasian Badger, Badger, European Badger"
3233,Vampyressa melissa,Melissa's Yellow-eared Bat
3234,Rhynchogale melleri,Meller's Mongoose
3235,Millardia meltada,"Soft-furred Metad, Soft-furred Field Rat, Soft-furred Rat"
3236,Moschiola meminna,"White-spotted Chevrotain, Chevrotain, Indian Mouse Deer, Indian Spotted Chevrotain, White-spotted Mousedeer"
3237,Nycticebus menagensis,Philippine Slow Loris
3238,Rhogeessa menchuae,NA
3239,Ctenomys mendocinus,Mendoza Tuco-tuco
3240,Marmota menzbieri,Menzbier's Marmot
3241,Pudu mephistophiles,Northern Pudu
3242,Mephitis mephitis,Striped Skunk
3243,Cryptotis mera,Darien Small Eared Shrew
3244,Limnogale mergulus,"Web-footed Tenrec, Aquatic Tenrec"
3245,Cryptotis meridensis,Merida Small-eared Shrew
3246,Nasuella meridensis,Eastern Mountain Coati
3247,Nephelomys meridensis,NA
3248,Meriones meridianus,"Mid-day Gerbil, Mid-day Jird"
3249,Avahi meridionalis,Southern Woolly Lemur
3250,Hapalemur meridionalis,"Rusty-gray Lesser Bamboo Lemur, Southern Grey Bamboo Lemur, Southern Lesser Bamboo Lemur"
3251,Sorex merriami,Merriam's Shrew
3252,Cryptotis merriami,Merriam's Small-eared Shrew
3253,Neotamias merriami,Merriam's Chipmunk
3254,Perognathus merriami,"Great Basin Pocket Mouse, Merriam's Pocket Mouse"
3255,Cratogeomys merriami,"Merriam's Pocket Gopher, Merriam's Pocket Gopher"
3256,Peromyscus merriami,Mesquite Mouse
3257,Dipodomys merriami,Merriam's Kangaroo Rat
3258,Suncus mertensi,Flores Shrew
3259,Pteronotus mesoamericanus,NA
3260,Canis mesomelas,"Black-backed Jackal, Silver-backed Jackal"
3261,Dendromus mesomelas,Brant's Climbing Mouse
3262,Gerbillus mesopotamiae,Mesopotamian Gerbil
3263,Dama mesopotamica,"Persian Fallow Deer, Mesopotamian Fallow Deer"
3264,Dendromus messorius,Banana Climbing Mouse
3265,Tamandua mexicana,Northern Tamandua
3266,Marmosa mexicana,Mexican Mouse Opossum
3267,Choeronycteris mexicana,"Mexican Long-tongued Bat, Hog-nosed Bat, Mexican Long-nosed Bat"
3268,Neotoma mexicana,Mexican Woodrat
3269,Cryptotis mexicana,Mexican Small-eared Shrew
3270,Dasyprocta mexicana,Mexican Agouti
3271,Natalus mexicanus,Mexican Greater Funnel-eared Bat
3272,Rheomys mexicanus,Mexican Water Mouse
3273,Cynomops mexicanus,Mexican Dog-faced Bat
3274,Coendou mexicanus,"Mexican Hairy Dwarf Porcupine, Mexican Tree Porcupine"
3275,Reithrodontomys mexicanus,Mexican Harvest Mouse
3276,Corynorhinus mexicanus,Mexican Big-eared Bat
3277,Microtus mexicanus,Mexican Vole
3278,Ictidomys mexicanus,Mexican Ground Squirrel
3279,Peromyscus mexicanus,Mexican Deer Mouse
3280,Cynomys mexicanus,"Mexican Prairie Dog, Mexican Prairie Marmot"
3281,Lenomys meyeri,"Meyer's Lenomys, Trefoil-toothed Giant Rat"
3282,Salpingotulus michaelis,"Baluchistan Pygmy Jerboa, Dwarf Three-toed Jerboa"
3283,Aotus miconax,"Andean Night Monkey, Mono Lechuza, Peruvian Night Monkey"
3284,Taeromys microbullatus,Small-eared Taeromys
3285,Lepilemur microdon,"Small-toothed Sportive Lemur, Light-necked Sportive Lemur, Microdon Sportive Lemur"
3286,Apomys microdon,"Small Luzon Apomys, Small Luzon Forest Mouse"
3287,Reithrodontomys microdon,Small-toothed Harvest Mouse
3288,Nyctophilus microdon,"Small-toothed Long-eared Bat, Small-toothed Bat"
3289,Rhinolophus microglobosus,"Indo-Chinese Lesser Brown Horseshoe Bat, Indochinese Brown Horseshoe Bat"
3290,Spalax microphthalmus,"Greater Blind Mole Rat, Greater Mole Rat"
3291,Rhinopoma microphyllum,Greater Mouse-tailed Bat
3292,Dipodomys microps,"Chisel-toothed Kangaroo Rat, Houserock Chisel-toothed Kangaroo Rat, House Rock Valley Kangaroo Rat"
3293,Neotoma micropus,Southern Plains Woodrat
3294,Chilonatalus micropus,"Cuban Lesser Funnel-eared Bat, Cuban Funnel-eared Bat"
3295,Paraechinus micropus,Indian Hedgehog
3296,Loxodontomys micropus,"Southern Pericote, Southern Big-eared Mouse"
3297,Gracilinanus microtarsus,"Brazilian Gracile Opossum, Brazilian Gracile Mouse Opossum"
3298,Atelocynus microtis,"Short-eared Dog, Short-eared Fox, Small-eared Dog, Small-eared Zorro"
3299,Nyctophilus microtis,"Papuan Long-eared Bat, New Guinea Long-eared Bat, Small-eared Nyctophilus"
3300,Micronycteris microtis,Common Big-eared Bat
3301,Oligoryzomys microtis,Small-eared Pygmy Rice Rat
3302,Graphiurus microtis,Small-eared Dormouse
3303,Euroscaptor micrura,Himalayan Mole
3304,Nesophontes micrus,Western Cuban Nesophontes
3305,Macroscelides micus,"Etendeka Round-eared Sengi, Etendeka Round-eared Elephant-shrew"
3306,Saguinus midas,"Golden-handed Tamarin, Midas Tamarin, Red-handed Tamarin, Yellow-handed Tamarin"
3307,Mops midas,"Midas Mops Bat, Midas Bat, Midas Free-tailed Bat, Midas Groove-cheeked Bat, Sundevall's Free-tailed Bat"
3308,Microtus middendorffii,"Middendorff's Vole, Middendorf's Vole"
3309,Cricetulus migratorius,"Gray Dwarf Hamster, Grey Hamster"
3310,Lepilemur milanoii,Daraina Sportive Lemur
3311,Eothenomys miletus,"Yunnan Red-backed Vole, Large Oriental Vole, Yunnan Chinese Vole"
3312,Dacnomys millardi,Millard's Rat
3313,Cynomops milleri,NA
3314,Sorex milleri,Carmen Mountain Shrew
3315,Pithecia milleri,"Miller's Saki, Miller's Monk Saki, Monk Saki"
3316,Leopoldamys milleti,Millet's Leopoldamys
3317,Volemys millicens,"Sichuan Vole, Szechuan Vole"
3318,Capricornis milneedwardsii,"Chinese Serow, Southwest China Serow"
3319,Octomys mimax,Viscacha Rat
3320,Phalanger mimicus,"Southern Common Cuscus, Australian Cuscus"
3321,Pseudantechinus mimulus,"Carpentarian Antechinus, Carpentarian Pseudantechinus"
3322,Microsciurus mimulus,Western Dwarf Squirrel
3323,Akodon mimus,"Thespian Grass Mouse, Hocicudo-like Akodont"
3324,Haeromys minahassae,"Lowland Sulawesi Haeromys, Minahassa Ranee Mouse"
3325,Pipistrellus minahassae,Minahassa Pipistrelle
3326,Proechimys mincae,Minca Spiny Rat
3327,Petinomys mindanensis,Mindanao Flying Squirrel
3328,Sundasciurus mindanensis,Mindanao Squirrel
3329,Bubalus mindorensis,"Tamaraw, Mindoro Dwarf Buffalo"
3330,Anonymomys mindorensis,"Mindoro Forest Anonymomys, Mindoro Climbing Rat, Mindoro Rat"
3331,Chrotomys mindorensis,"Lowland Chrotomys, Lowland Striped Shrew-rat, Lowland Striped Shrew Rat, Mindoro Striped Rat, Mindoro Striped Shrew Rat"
3332,Rattus mindorensis,"Mindoro Mountain Rat, Mindoro Black Rat, Mindoro Soft-furred Rat"
3333,Styloctenium mindorensis,Mindoro Stripe-faced Fruit Bat
3334,Crocidura mindorus,Mindoro Shrew
3335,Apomys minganensis,"Mingan Forest Mouse, Mingan Apomys"
3336,Antechinus minimus,"Swamp Antechinus, Little Tasmanian Marsupial-mouse, Swamp Marsupial Mouse"
3337,Chironectes minimus,"Water Opossum, Yapok"
3338,Epomophorus minimus,East African Epauletted Fruit Bat
3339,Macroglossus minimus,"Dagger-toothed Long-nosed Fruit Bat, Lesser Long-tongued Fruit Bat"
3340,Neotamias minimus,"Least Chipmunk, New Mexico Least Chipmunk, Peasco Least Chipmunk, Selkirk Least Chipmunk"
3341,Grammomys minnae,Ethiopian Thicket Rat
3342,Eliurus minor,Lesser Tufted-tailed Rat
3343,Lasiurus minor,Minor Red Bat
3344,Dobsonia minor,"Lesser Bare-backed Fruit Bat, Lesser Naked-backed Fruit Bat"
3345,Praomys minor,"Least Soft-furred Mouse, Least Praomys"
3346,Ptenochirus minor,Lesser Musky Fruit Bat
3347,Tupaia minor,"Lesser Treeshrew, Pygmy Tree Shrew"
3348,Pelomys minor,Least Groove-toothed Swamp Rat
3349,Choeroniscus minor,Lesser Long-tailed Bat
3350,Miniopterus minor,Least Long-fingered Bat
3351,Epomophorus minor,Minor Epauletted Fruit Bat
3352,Acomys minous,"Crete Spiny Mouse, Cretan Spiny Mouse, Spiny Mouse"
3353,Cheirogaleus minusculus,"Lesser Iron-grey Dwarf Lemur, Small Iron-gray Dwarf Lemur"
3354,Kerivoula minuta,Least Woolly Bat
3355,Micronycteris minuta,"Tiny Big-eared Bat, White-bellied Big-eared Bat"
3356,Rhogeessa minutilla,Tiny Yellow Bat
3357,Sorex minutissimus,"Eurasian Least Shrew, Least Shrew, Least Siberian Shrew, Miniscule Shrew"
3358,Mus minutoides,Pygmy Mouse
3359,Micromys minutus,"Eurasian Harvest Mouse, Harvest Mouse"
3360,Neacomys minutus,NA
3361,Sorex minutus,"Eurasian Pygmy Shrew, Pygmy Shrew"
3362,Mormopterus minutus,Little Goblin Bat
3363,Cynopterus minutus,Minute Fruit Bat
3364,Ctenomys minutus,Tiny Tuco-tuco
3365,Nyctimene minutus,"Lesser Tube-nosed Fruit Bat, Lesser Tube-nosed Bat"
